TIFFY,crit_lure,related,2,new
PRIFFY,list_item,related,1,old
TRIFFY,list_item,related,1,old
SIFFY,list_item,related,1,old
BLIFFY,list_item,related,1,old
ZIFFY,list_item,related,1,old
GRIFFY,list_item,related,1,old
VUTER,crit_lure,related,2,new
SNUTER,list_item,related,1,old
PLUTER,list_item,related,1,old
BRUTER,list_item,related,1,old
HUTER,list_item,related,1,old
KLUTER,list_item,related,1,old
CRUTER,list_item,related,1,old
FLEAGLE,crit_lure,related,2,new
KLEAGLE,list_item,related,1,old
CREAGLE,list_item,related,1,old
PLEAGLE,list_item,related,1,old
GREAGLE,list_item,related,1,old
PREAGLE,list_item,related,1,old
SWEAGLE,list_item,related,1,old
ZIQUE,crit_lure,related,2,new
JIQUE,list_item,related,1,old
NIQUE,list_item,related,1,old
SHIQUE,list_item,related,1,old
PLIQUE,list_item,related,1,old
FRIQUE,list_item,related,1,old
WIQUE,list_item,related,1,old
PRUSS,crit_lure,related,2,new
DRUSS,list_item,related,1,old
ZUSS,list_item,related,1,old
NUSS,list_item,related,1,old
KRUSS,list_item,related,1,old
GRUSS,list_item,related,1,old
KUSS,list_item,related,1,old
KATION,crit_lure,related,2,new
FRATION,list_item,related,1,old
JATION,list_item,related,1,old
KRATION,list_item,related,1,old
SNATION,list_item,related,1,old
PLATION,list_item,related,1,old
GRATION,list_item,related,1,old
SWOWEN,crit_lure,related,2,new
KROWEN,list_item,related,1,old
TOWEN,list_item,related,1,old
POWEN,list_item,related,1,old
TROWEN,list_item,related,1,old
CLOWEN,list_item,related,1,old
FROWEN,list_item,related,1,old
KLUMME,crit_lure,related,2,new
DUMME,list_item,related,1,old
GRUMME,list_item,related,1,old
PUMME,list_item,related,1,old
WUMME,list_item,related,1,old
SWUMME,list_item,related,1,old
KRUMME,list_item,related,1,old
GROLOR,crit_lure,related,2,new
TOLOR,list_item,related,1,old
SWOLOR,list_item,related,1,old
DROLOR,list_item,related,1,old
PROLOR,list_item,related,1,old
CROLOR,list_item,related,1,old
PHOLOR,list_item,related,1,old
PAZY,crit_lure,related,2,new
BAZY,list_item,related,1,old
GRAZY,list_item,related,1,old
PRAZY,list_item,related,1,old
ZAZY,list_item,related,1,old
WAZY,list_item,related,1,old
KAZY,list_item,related,1,old
KLENDER,crit_lure,unrelated,2,new
SNENDER,list_item,unrelated,2,new
NENDER,list_item,unrelated,2,new
HENDER,list_item,unrelated,2,new
DENDER,list_item,unrelated,2,new
WENDER,list_item,unrelated,2,new
TRENDER,list_item,unrelated,2,new
DATOP,crit_lure,unrelated,2,new
FRATOP,list_item,unrelated,2,new
SATOP,list_item,unrelated,2,new
DRATOP,list_item,unrelated,2,new
TRATOP,list_item,unrelated,2,new
TATOP,list_item,unrelated,2,new
SNATOP,list_item,unrelated,2,new
KIGIN,crit_lure,unrelated,2,new
DRIGIN,list_item,unrelated,2,new
TIGIN,list_item,unrelated,2,new
PRIGIN,list_item,unrelated,2,new
TRIGIN,list_item,unrelated,2,new
DIGIN,list_item,unrelated,2,new
HIGIN,list_item,unrelated,2,new
VALKY,crit_lure,unrelated,2,new
KLALKY,list_item,unrelated,2,new
PHALKY,list_item,unrelated,2,new
FLALKY,list_item,unrelated,2,new
KRALKY,list_item,unrelated,2,new
PRALKY,list_item,unrelated,2,new
GALKY,list_item,unrelated,2,new
SHEDI,crit_lure,unrelated,2,new
PHEDI,list_item,unrelated,2,new
NEDI,list_item,unrelated,2,new
KEDI,list_item,unrelated,2,new
BREDI,list_item,unrelated,2,new
HEDI,list_item,unrelated,2,new
KLEDI,list_item,unrelated,2,new
PRESKTO,crit_lure,unrelated,2,new
SHESKTO,list_item,unrelated,2,new
JESKTO,list_item,unrelated,2,new
GRESKTO,list_item,unrelated,2,new
MESKTO,list_item,unrelated,2,new
KLESKTO,list_item,unrelated,2,new
SNESKTO,list_item,unrelated,2,new
WECK,crit_lure,unrelated,2,new
CRECK,list_item,unrelated,2,new
BLECK,list_item,unrelated,2,new
FRECK,list_item,unrelated,2,new
BRECK,list_item,unrelated,2,new
SNECK,list_item,unrelated,2,new
TECK,list_item,unrelated,2,new
HAPTE,crit_lure,unrelated,2,new
BAPTE,list_item,unrelated,2,new
DAPTE,list_item,unrelated,2,new
VAPTE,list_item,unrelated,2,new
SWAPTE,list_item,unrelated,2,new
PRAPTE,list_item,unrelated,2,new
BLAPTE,list_item,unrelated,2,new
KLOOM,crit_lure,unrelated,2,new
TROOM,list_item,unrelated,2,new
FROOM,list_item,unrelated,2,new
KROOM,list_item,unrelated,2,new
FLOOM,list_item,unrelated,2,new
SNOOM,list_item,unrelated,2,new
VOOM,list_item,unrelated,2,new
ZAISE,crit_lure,unrelated,2,new
SAISE,list_item,unrelated,2,new
VAISE,list_item,unrelated,2,new
SNAISE,list_item,unrelated,2,new
PAISE,list_item,unrelated,2,new
JAISE,list_item,unrelated,2,new
TAISE,list_item,unrelated,2,new
